AAA028I14.genome.CDS.1503,group03742
AAA028I14.genome.CDS.1502,group02443
AAA028I14.genome.CDS.918,group01486
AAA028I14.genome.CDS.1500,group00907
AAA028I14.genome.CDS.858,group00911
AAA028I14.genome.CDS.857,group00631
AAA028I14.genome.CDS.856,group00071
AAA028I14.genome.CDS.855,group01201
AAA028I14.genome.CDS.854,group00683
AAA028I14.genome.CDS.853,group00686
AAA028I14.genome.CDS.852,group00982
AAA028I14.genome.CDS.851,group01087
AAA028I14.genome.CDS.850,group00017
AAA028I14.genome.CDS.1550,group00665
AAA028I14.genome.CDS.1582,group00415
AAA028I14.genome.CDS.1551,group01969
AAA028I14.genome.CDS.1136,group00261
AAA028I14.genome.CDS.1137,group00031
AAA028I14.genome.CDS.1134,group00719
AAA028I14.genome.CDS.1135,group00599
AAA028I14.genome.CDS.1132,group00235
AAA028I14.genome.CDS.1133,group00200
AAA028I14.genome.CDS.1130,group00413
AAA028I14.genome.CDS.1131,group00414
AAA028I14.genome.CDS.1138,group00405
AAA028I14.genome.CDS.1139,group00990
AAA028I14.genome.CDS.1453,group04610
AAA028I14.genome.CDS.232,group13277
AAA028I14.genome.CDS.69,group01008
AAA028I14.genome.CDS.981,group13341
AAA028I14.genome.CDS.1344,group13300
AAA028I14.genome.CDS.1347,group13299
AAA028I14.genome.CDS.1229,group00805
AAA028I14.genome.CDS.1341,group13302
AAA028I14.genome.CDS.1340,group00263
AAA028I14.genome.CDS.987,group13273
AAA028I14.genome.CDS.986,group13274
AAA028I14.genome.CDS.989,group00426
AAA028I14.genome.CDS.1223,group01290
AAA028I14.genome.CDS.1220,group01178
AAA028I14.genome.CDS.1221,group00482
AAA028I14.genome.CDS.1226,group01754
AAA028I14.genome.CDS.1348,group13298
AAA028I14.genome.CDS.1224,group01027
AAA028I14.genome.CDS.1225,group01055
AAA028I14.genome.CDS.1158,group00564
AAA028I14.genome.CDS.927,group00813
AAA028I14.genome.CDS.1369,group00090
AAA028I14.genome.CDS.1613,group01315
AAA028I14.genome.CDS.1612,group04693
AAA028I14.genome.CDS.1611,group13331
AAA028I14.genome.CDS.1610,group03623
AAA028I14.genome.CDS.1615,group13330
AAA028I14.genome.CDS.1614,group01315
AAA028I14.genome.CDS.805,group01452
AAA028I14.genome.CDS.288,group00321
AAA028I14.genome.CDS.121,group01077
AAA028I14.genome.CDS.1421,group00520
AAA028I14.genome.CDS.808,group02085
AAA028I14.genome.CDS.1589,group00466
AAA028I14.genome.CDS.1362,group01637
AAA028I14.genome.CDS.1118,group00737
AAA028I14.genome.CDS.1423,group00517
AAA028I14.genome.CDS.1360,group01851
AAA028I14.genome.CDS.1048,group04596
AAA028I14.genome.CDS.1046,group13278
AAA028I14.genome.CDS.1047,group04597
AAA028I14.genome.CDS.1044,group03746
AAA028I14.genome.CDS.1045,group03745
AAA028I14.genome.CDS.1042,group03743
AAA028I14.genome.CDS.1043,group03742
AAA028I14.genome.CDS.1040,group04595
AAA028I14.genome.CDS.929,group01453
AAA028I14.genome.CDS.1305,group01035
AAA028I14.genome.CDS.1306,group00170
AAA028I14.genome.CDS.1240,group01098
